pass_num,gain_set,t_ms,raw_m,die_c,amb_c,rssi_dbm,gain_step,snr_db,rssi_sync,kept
2,9,299698,2.9973,40.6,29.57,-53.5,9,0.0,-35.5,1
2,9,300424,3.6058,40.6,29.57,-53.5,9,0.0,-35.5,1
2,9,301150,4.9579,40.6,29.57,-53.5,9,0.0,-35.5,1
2,9,301876,4.6875,40.6,29.57,-53.5,9,0.0,-35.5,1
2,9,302602,3.8762,40.6,29.57,-53.0,9,0.0,-35.5,1
2,9,303328,3.8086,40.6,29.57,-53.5,9,0.0,-35.5,1
2,9,304054,4.3720,40.6,29.57,-53.0,9,0.0,-35.5,1
2,9,304780,3.7635,40.6,29.57,-53.5,9,0.0,-35.5,1
2,9,305506,3.9438,40.6,29.57,-53.5,9,0.0,-35.5,1
2,9,306232,4.5523,40.6,29.57,-53.5,9,0.0,-35.5,1
2,9,306958,4.0340,40.6,29.57,-53.5,9,0.0,-35.5,1
2,9,307684,4.8903,40.6,29.57,-53.0,9,0.0,-35.5,1
2,9,308410,3.4255,39.6,29.57,-53.5,9,0.0,-35.5,1
2,9,309136,4.1917,39.6,29.57,-53.5,9,0.0,-35.5,1
2,9,309862,5.0931,39.6,29.57,-53.5,9,0.0,-35.5,1
2,9,310588,4.0114,40.6,29.57,-53.5,9,0.0,-35.5,1
2,9,311314,4.8002,40.6,29.57,-53.5,9,0.0,-35.5,1
2,9,312040,3.5382,40.6,29.57,-53.0,9,0.0,-35.5,1
2,9,312766,4.0340,40.6,29.57,-53.5,9,0.0,-35.5,1
2,9,313492,3.9889,40.6,29.57,-53.0,9,0.0,-35.5,1
2,9,314218,3.7184,40.6,29.57,-53.5,9,0.0,-35.5,1
2,9,314944,3.8086,40.6,29.57,-53.5,9,0.0,-35.5,1
2,9,315670,3.9889,39.6,29.57,-53.5,9,0.0,-35.5,1
2,9,316396,3.9889,39.6,29.57,-53.5,9,0.0,-35.5,1
2,9,317122,4.7551,39.6,29.57,-53.0,9,0.0,-35.5,1
2,9,317848,4.7326,39.6,29.57,-53.5,9,0.0,-35.5,1
2,9,318574,4.7776,39.6,29.57,-53.5,9,0.0,-35.5,1
2,9,319300,5.1382,39.6,29.57,-53.5,9,0.0,-35.5,1
2,9,320026,5.3410,40.6,29.57,-53.0,9,0.0,-35.5,1
2,9,320752,4.9805,40.6,29.57,-53.5,9,0.0,-35.5,1
2,9,321478,4.1692,40.6,29.57,-53.5,9,0.0,-35.5,1
2,9,322204,3.5382,40.6,29.57,-53.0,9,0.0,-35.5,1
2,9,322930,3.4706,40.6,29.57,-53.5,9,0.0,-35.5,1
2,9,323656,4.9579,40.6,29.57,-53.5,9,0.0,-35.5,1
2,9,324382,4.9579,40.6,29.57,-53.5,9,0.0,-35.5,1
2,9,325108,5.0255,39.6,29.57,-53.0,9,0.0,-35.5,1
2,9,325834,5.2734,40.6,29.56,-53.5,9,0.0,-35.5,1
2,9,326560,4.6875,40.6,29.57,-53.5,9,0.0,-35.5,1
2,9,327286,4.5974,40.6,29.57,-53.5,9,0.0,-35.5,1
2,9,328012,3.7184,40.6,29.56,-53.5,9,0.0,-35.5,1
2,9,328738,3.8537,39.6,29.57,-53.5,9,0.0,-35.5,1
2,9,329464,5.0706,39.6,29.57,-53.5,9,0.0,-35.5,1
2,9,330190,4.2368,39.6,29.57,-53.5,9,0.0,-35.5,1
2,9,330916,4.2368,40.6,29.56,-53.5,9,0.0,-35.5,1
2,9,331642,4.7776,40.6,29.56,-53.5,9,0.0,-35.5,1
2,9,332368,4.7776,40.6,29.57,-53.5,9,0.0,-35.5,1
2,9,333094,4.4396,40.6,29.56,-53.5,9,0.0,-35.5,1
2,9,333820,4.4847,39.6,29.56,-53.0,9,0.0,-35.5,1
2,9,334546,4.1466,39.6,29.56,-53.5,9,0.0,-35.5,1
2,9,335272,5.4087,40.6,29.56,-53.5,9,0.0,-35.5,1
2,9,335998,4.9354,39.6,29.57,-53.5,9,0.0,-35.5,1
2,9,336724,3.7184,39.6,29.56,-53.5,9,0.0,-35.5,1
2,9,337450,4.0790,39.6,29.57,-53.5,9,0.0,-35.5,1
2,9,338176,4.5297,39.6,29.57,-53.5,9,0.0,-35.5,1
2,9,338902,5.1833,40.6,29.56,-53.5,9,0.0,-35.5,1
2,9,339628,4.4621,40.6,29.56,-53.0,9,0.0,-35.5,1
2,9,340354,4.4621,40.6,29.57,-53.0,9,0.0,-35.5,1
2,9,341080,3.3128,39.6,29.56,-53.5,9,0.0,-35.5,1
2,9,341806,4.5297,39.6,29.56,-53.5,9,0.0,-35.5,1
2,9,342532,3.1776,40.6,29.56,-53.0,9,0.0,-35.5,1
2,9,343258,4.5974,40.6,29.57,-53.5,9,0.0,-35.5,1
