--- Terminal on /dev/ttyACM1 | 115200 8-N-1
--- Available filters and text transformations: debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
aw_m,die_c,amb_c
527020,-7.2791,21.3,11.77
527741,-7.3468,22.3,11.76
528462,-6.6256,21.3,11.76
529183,-6.7157,22.3,11.74
529904,-6.7157,23.3,11.74
530625,-6.7157,23.3,11.74
531346,-6.7157,23.3,11.72
532067,-6.7157,23.3,11.72
532788,-6.7157,22.3,11.71
533509,-6.7157,23.3,11.70
534230,-6.7157,22.3,11.70
534951,-6.7157,21.3,11.68
535672,-6.7157,22.3,11.68
536393,-6.7157,21.3,11.67
537114,-6.7157,21.3,11.66
537835,-6.7157,22.3,11.65
538556,-6.7157,22.3,11.64
539277,-6.7157,21.3,11.64
539998,-6.7157,22.3,11.63
